old_name	PANGAEA_ID	PANGAEA_ID_incorrect	equal
TARA_004_DCM_0.22-1.6	TARA_X000000368	TARA_X000000368	TRUE
TARA_004_SRF_0.22-1.6	TARA_Y200000002	TARA_Y200000002	TRUE
TARA_007_DCM_0.22-1.6	TARA_A200000159	TARA_A200000159	TRUE
TARA_007_SRF_0.22-1.6	TARA_A200000113	TARA_A200000113	TRUE
TARA_009_DCM_0.22-1.6	TARA_X000001036	TARA_X000001036	TRUE
TARA_009_SRF_0.22-1.6	TARA_X000000950	TARA_X000000950	TRUE
TARA_011_SRF_lt-0.22	TARA_X000001316	TARA_X000001316	TRUE
TARA_018_DCM_0.22-1.6	TARA_S200000501	TARA_S200000501	TRUE
TARA_018_DCM_lt-0.22	TARA_A100000172	TARA_A100000172	TRUE
TARA_018_SRF_0.22-1.6	TARA_A100000164	TARA_A100000164	TRUE
TARA_018_SRF_lt-0.22	TARA_A100000171	TARA_A100000171	TRUE
TARA_022_SRF_lt-0.22	TARA_S200002703	TARA_S200002703	TRUE
TARA_023_DCM_0.22-1.6	TARA_E500000081	TARA_E500000081	TRUE
TARA_023_DCM_lt-0.22	TARA_X000001382	TARA_X000001382	TRUE
TARA_023_SRF_0.22-1.6	TARA_E500000075	TARA_E500000075	TRUE
TARA_025_DCM_0.22-1.6	TARA_E500000331	TARA_E500000331	TRUE
TARA_025_DCM_lt-0.22	TARA_E500000305	TARA_E500000305	TRUE
TARA_025_SRF_0.22-1.6	TARA_E500000178	TARA_E500000178	TRUE
TARA_025_SRF_lt-0.22	TARA_E500000318	TARA_E500000318	TRUE
TARA_030_DCM_0.22-1.6	TARA_A100001011	TARA_A100001011	TRUE
TARA_030_DCM_lt-0.22	TARA_X000001388	TARA_X000001388	TRUE
TARA_030_SRF_0.22-1.6	TARA_A100001015	TARA_A100001015	TRUE
TARA_031_SRF_0.22-1.6	TARA_A100001388	TARA_A100001388	TRUE
TARA_031_SRF_lt-0.22	TARA_A100001391	TARA_A100001391	TRUE
TARA_032_DCM_0.22-1.6	TARA_A100001037	TARA_A100001037	TRUE
TARA_032_DCM_lt-0.22	TARA_A100001518	TARA_A100001518	TRUE
TARA_032_SRF_0.22-1.6	TARA_A100001035	TARA_A100001035	TRUE
TARA_032_SRF_lt-0.22	TARA_A100001515	TARA_A100001515	TRUE
TARA_033_SRF_0.22-1.6	TARA_A100001234	TARA_A100001234	TRUE
TARA_033_SRF_lt-0.22	TARA_A100001201	TARA_A100001201	TRUE
TARA_034_DCM_0.22-1.6	TARA_B100000029	TARA_B100000029	TRUE
TARA_034_DCM_lt-0.22	TARA_R100000008	TARA_R100000008	TRUE
TARA_034_SRF_0.1-0.22	TARA_Y100000004	TARA_Y100000004	TRUE
TARA_034_SRF_0.22-1.6	TARA_B100000003	TARA_B100000003	TRUE
TARA_034_SRF_lt-0.22	TARA_R100000005	TARA_R100000005	TRUE
TARA_036_DCM_0.22-1.6	TARA_B100000035	TARA_B100000035	TRUE
TARA_036_DCM_lt-0.22	TARA_R100000030	TARA_R100000030	TRUE
TARA_036_SRF_0.1-0.22	TARA_Y100000015	TARA_Y100000015	TRUE
TARA_036_SRF_0.22-1.6	TARA_Y100000022	TARA_Y100000022	TRUE
TARA_036_SRF_lt-0.22	TARA_R100000027	TARA_R100000027	TRUE
TARA_037_MES_0.1-0.22	TARA_Y100000310	TARA_Y100000310	TRUE
TARA_037_MES_0.22-1.6	TARA_B100000315	TARA_B100000315	TRUE
TARA_037_MES_lt-0.22	TARA_R100000049	TARA_R100000049	TRUE
TARA_038_DCM_0.22-1.6	TARA_B100000073	TARA_B100000073	TRUE
TARA_038_DCM_lt-0.22	TARA_R100000084	TARA_R100000084	TRUE
TARA_038_MES_0.1-0.22	TARA_Y100000296	TARA_Y100000296	TRUE
TARA_038_MES_0.22-1.6	TARA_Y100000294	TARA_Y100000294	TRUE
TARA_038_MES_lt-0.22	TARA_R100000093	TARA_R100000093	TRUE
TARA_038_SRF_0.1-0.22	TARA_Y100000289	TARA_Y100000289	TRUE
TARA_038_SRF_0.22-1.6	TARA_Y100000287	TARA_Y100000287	TRUE
TARA_038_SRF_lt-0.22	TARA_R100000081	TARA_R100000081	TRUE
TARA_039_DCM_0.22-1.6	TARA_B100000085	TARA_B100000085	TRUE
TARA_039_DCM_lt-0.22	TARA_R100000482	TARA_R100000482	TRUE
TARA_039_MES_0.1-0.22	TARA_Y100000034	TARA_Y100000034	TRUE
TARA_039_MES_0.22-1.6	TARA_Y100000031	TARA_Y100000031	TRUE
TARA_039_MES_lt-0.22	TARA_R100000501	TARA_R100000501	TRUE
TARA_039_SRF_0.1-0.22	TARA_Y100000033	TARA_Y100000033	TRUE
TARA_039_SRF_lt-0.22	TARA_R100000479	TARA_R100000479	TRUE
TARA_041_DCM_0.22-1.6	TARA_B100000287	TARA_B100000287	TRUE
TARA_041_DCM_lt-0.22	TARA_R100000458	TARA_R100000458	TRUE
TARA_041_SRF_0.1-0.22	TARA_Y100000052	TARA_Y100000052	TRUE
TARA_041_SRF_0.22-1.6	TARA_B100000282	TARA_B100000282	TRUE
TARA_041_SRF_lt-0.22	TARA_R100000455	TARA_R100000455	TRUE
TARA_042_DCM_0.22-1.6	TARA_B100000131	TARA_B100000131	TRUE
TARA_042_DCM_lt-0.22	TARA_R100000152	TARA_R100000152	TRUE
TARA_042_SRF_0.22-1.6	TARA_B100000123	TARA_B100000123	TRUE
TARA_042_SRF_lt-0.22	TARA_R100000149	TARA_R100000149	TRUE
TARA_045_SRF_0.22-1.6	TARA_B100000161	TARA_B100000161	TRUE
TARA_045_SRF_lt-0.22	TARA_R100000388	TARA_R100000388	TRUE
TARA_046_SRF_lt-0.22	TARA_R100000406	TARA_R100000406	TRUE
TARA_048_SRF_0.1-0.22	TARA_Y100000114	TARA_Y100000114	TRUE
TARA_048_SRF_0.22-1.6	TARA_B100000242	TARA_B100000242	TRUE
TARA_048_SRF_lt-0.22	TARA_R100000426	TARA_R100000426	TRUE
TARA_052_DCM_0.22-1.6	TARA_B100000214	TARA_B100000214	TRUE
TARA_052_DCM_lt-0.22	TARA_R100000234	TARA_R100000234	TRUE
TARA_052_SRF_0.22-1.6	TARA_B100000212	TARA_B100000212	TRUE
TARA_052_SRF_lt-0.22	TARA_R100000231	TARA_R100000231	TRUE
TARA_056_MES_0.22-3	TARA_B100000378	TARA_B100000378	TRUE
TARA_056_MES_lt-0.22	TARA_R100000365	TARA_R100000365	TRUE
TARA_056_SRF_0.22-3	TARA_B000000609	TARA_B000000609	TRUE
TARA_056_SRF_lt-0.22	TARA_R100000353	TARA_R100000353	TRUE
TARA_057_SRF_0.22-3	TARA_B000000565	TARA_B000000565	TRUE
TARA_058_DCM_0.22-3	TARA_B000000557	TARA_B000000557	TRUE
TARA_058_DCM_lt-0.22	TARA_R100000278	TARA_R100000278	TRUE
TARA_062_SRF_0.22-3	TARA_B000000532	TARA_B000000532	TRUE
TARA_062_SRF_lt-0.22	TARA_R100000329	TARA_R100000329	TRUE
TARA_064_DCM_0.1-0.22	TARA_Y100000401	TARA_Y100000401	TRUE
TARA_064_DCM_0.22-3	TARA_B100000405	TARA_B100000405	TRUE
TARA_064_DCM_lt-0.22	TARA_R100000315	TARA_R100000315	TRUE
TARA_064_MES_0.22-3	TARA_B100000408	TARA_B100000408	TRUE
TARA_064_MES_lt-0.22	TARA_R100000306	TARA_R100000306	TRUE
TARA_064_SRF_0.22-3	TARA_B100000401	TARA_B100000401	TRUE
TARA_064_SRF_lt-0.22	TARA_R100000322	TARA_R100000322	TRUE
TARA_065_DCM_0.1-0.22	TARA_Y100000361	TARA_Y100000361	TRUE
TARA_065_DCM_0.22-3	TARA_B000000441	TARA_B000000441	TRUE
TARA_065_DCM_lt-0.22	TARA_R100001198	TARA_R100001198	TRUE
TARA_065_MES_0.22-3	TARA_B000000460	TARA_B000000460	TRUE
TARA_065_SRF_0.1-0.22	TARA_Y100000356	TARA_Y100000356	TRUE
TARA_065_SRF_0.22-3	TARA_B000000437	TARA_B000000437	TRUE
TARA_065_SRF_lt-0.22	TARA_R100001230	TARA_R100001230	TRUE
TARA_066_DCM_0.22-3	TARA_B000000477	TARA_B000000477	TRUE
TARA_066_DCM_lt-0.22	TARA_R100000908	TARA_R100000908	TRUE
TARA_066_SRF_0.22-3	TARA_B000000475	TARA_B000000475	TRUE
TARA_066_SRF_lt-0.22	TARA_R100000900	TARA_R100000900	TRUE
TARA_067_SRF_0.22-0.45	TARA_Y100000389	TARA_Y100000389	TRUE
TARA_067_SRF_0.22-3	TARA_B100000497	TARA_B100000497	TRUE
TARA_067_SRF_0.45-0.8	TARA_Y100000385	TARA_Y100000385	TRUE
TARA_067_SRF_lt-0.22	TARA_R100000951	TARA_R100000951	TRUE
TARA_068_DCM_0.22-0.45	TARA_Y100000748	TARA_Y100000748	TRUE
TARA_068_DCM_0.22-3	TARA_B100000482	TARA_B100000482	TRUE
TARA_068_DCM_0.45-0.8	TARA_Y100000746	TARA_Y100000746	TRUE
TARA_068_DCM_lt-0.22	TARA_R100000995	TARA_R100000995	TRUE
TARA_068_MES_0.22-3	TARA_B100000470	TARA_B100000470	TRUE
TARA_068_MES_0.45-0.8	TARA_Y100000758	TARA_Y100000758	TRUE
TARA_068_MES_lt-0.22	TARA_R100000963	TARA_R100000963	TRUE
TARA_068_SRF_0.22-0.45	TARA_Y100000741	TARA_Y100000741	TRUE
TARA_068_SRF_0.22-3	TARA_B100000475	TARA_B100000475	TRUE
TARA_068_SRF_0.45-0.8	TARA_Y100000739	TARA_Y100000739	TRUE
TARA_068_SRF_lt-0.22	TARA_R100000988	TARA_R100000988	TRUE
TARA_070_MES_0.22-0.45	TARA_Y100000782	TARA_Y100000782	TRUE
TARA_070_MES_0.22-3	TARA_B100000446	TARA_B100000446	TRUE
TARA_070_MES_0.45-0.8	TARA_Y100000780	TARA_Y100000780	TRUE
TARA_070_MES_lt-0.22	TARA_R100001039	TARA_R100001039	TRUE
TARA_070_SRF_0.22-0.45	TARA_Y100000768	TARA_Y100000768	TRUE
TARA_070_SRF_0.22-3	TARA_B100000459	TARA_B100000459	TRUE
TARA_070_SRF_0.45-0.8	TARA_Y100000766	TARA_Y100000766	TRUE
TARA_070_SRF_lt-0.22	TARA_R100001015	TARA_R100001015	TRUE
TARA_072_DCM_0.22-3	TARA_B100000427	TARA_B100000427	TRUE
TARA_072_DCM_lt-0.22	TARA_R100001082	TARA_R100001082	TRUE
TARA_072_MES_0.22-3	TARA_B100000508	TARA_B100000508	TRUE
TARA_072_MES_lt-0.22	TARA_R100001086	TARA_R100001086	TRUE
TARA_072_SRF_0.22-3	TARA_B100000424	TARA_B100000424	TRUE
TARA_072_SRF_lt-0.22	TARA_R100001079	TARA_R100001079	TRUE
TARA_076_DCM_0.22-0.45	TARA_Y100000817	TARA_Y100000817	TRUE
TARA_076_DCM_0.22-3	TARA_B100000519	TARA_B100000519	TRUE
TARA_076_DCM_0.45-0.8	TARA_Y100000814	TARA_Y100000814	TRUE
TARA_076_DCM_lt-0.22	TARA_R100001129	TARA_R100001129	TRUE
TARA_076_MES_0.22-3	TARA_B100000749	TARA_B100000749	TRUE
TARA_076_MES_0.45-0.8	TARA_Y100000815	TARA_Y100000815	TRUE
TARA_076_MES_lt-0.22	TARA_R100001132	TARA_R100001132	TRUE
TARA_076_SRF_0.22-0.45	TARA_Y100000816	TARA_Y100000816	TRUE
TARA_076_SRF_0.22-3	TARA_B100000513	TARA_B100000513	TRUE
TARA_076_SRF_0.45-0.8	TARA_Y100000813	TARA_Y100000813	TRUE
TARA_076_SRF_lt-0.22	TARA_R100001126	TARA_R100001126	TRUE
TARA_078_DCM_0.22-0.45	TARA_Y100000996	TARA_Y100000996	TRUE
TARA_078_DCM_0.22-3	TARA_B100000530	TARA_B100000530	TRUE
TARA_078_DCM_0.45-0.8	TARA_Y100000994	TARA_Y100000994	TRUE
TARA_078_DCM_lt-0.22	TARA_R100001163	TARA_R100001163	TRUE
TARA_078_MES_0.22-3	TARA_B100000745	TARA_B100000745	TRUE
TARA_078_MES_0.45-0.8	TARA_Y100001001	TARA_Y100001001	TRUE
TARA_078_MES_lt-0.22	TARA_R100001143	TARA_R100001143	TRUE
TARA_078_SRF_0.22-0.45	TARA_Y100000992	TARA_Y100000992	TRUE
TARA_078_SRF_0.22-3	TARA_B100000524	TARA_B100000524	TRUE
TARA_078_SRF_0.45-0.8	TARA_Y100000991	TARA_Y100000991	TRUE
TARA_078_SRF_lt-0.22	TARA_R100001224	TARA_R100001224	TRUE
TARA_082_DCM_0.22-3	TARA_B100000767	TARA_B100000767	TRUE
TARA_082_DCM_lt-0.22	TARA_R100000544	TARA_R100000544	TRUE
TARA_082_SRF_0.22-3	TARA_B100000768	TARA_B100000768	TRUE
TARA_082_SRF_lt-0.22	TARA_R100000541	TARA_R100000541	TRUE
TARA_084_SRF_0.22-3	TARA_B100000780	TARA_B100000780	TRUE
TARA_084_SRF_lt-0.22	TARA_R100000935	TARA_R100000935	TRUE
TARA_085_DCM_0.22-3	TARA_B100000795	TARA_B100000795	TRUE
TARA_085_DCM_lt-0.22	TARA_R100001377	TARA_R100001377	TRUE
TARA_085_MES_0.22-3	TARA_B100000809	TARA_B100000809	TRUE
TARA_085_MES_lt-0.22	TARA_R100001244	TARA_R100001244	TRUE
TARA_085_SRF_0.22-3	TARA_B100000787	TARA_B100000787	TRUE
TARA_085_SRF_lt-0.22	TARA_R100001369	TARA_R100001369	TRUE
TARA_093_DCM_0.22-3	TARA_B100001059	TARA_B100001059	TRUE
TARA_093_SRF_0.22-3	TARA_B100001063	TARA_B100001063	TRUE
TARA_094_SRF_0.22-3	TARA_B100001057	TARA_B100001057	TRUE
TARA_096_SRF_0.22-3	TARA_B100000989	TARA_B100000989	TRUE
TARA_098_DCM_0.22-3	TARA_B100001029	TARA_B100001029	TRUE
TARA_098_MES_0.22-3	TARA_B100001013	TARA_B100001013	TRUE
TARA_098_SRF_0.22-3	TARA_B100001027	TARA_B100001027	TRUE
TARA_099_SRF_0.22-3	TARA_B100000886	TARA_B100000886	TRUE
TARA_100_DCM_0.22-3	TARA_B100000965	TARA_B100000965	TRUE
TARA_100_DCM_lt-0.22	TARA_R100001443	TARA_R100001443	TRUE
TARA_100_MES_0.22-3	TARA_B100000959	TARA_B100000959	TRUE
TARA_100_MES_lt-0.22	TARA_R100001530	TARA_R100001530	TRUE
TARA_100_SRF_0.22-3	TARA_B100000963	TARA_B100000963	TRUE
TARA_100_SRF_lt-0.22	TARA_R100001440	TARA_R100001440	TRUE
TARA_102_DCM_0.22-3	TARA_B100000902	TARA_B100000902	TRUE
TARA_102_DCM_lt-0.22	TARA_R100001463	TARA_R100001463	TRUE
TARA_102_MES_0.22-3	TARA_B100000953	TARA_B100000953	TRUE
