sample	mg_median
TARA_A100000164	17761.8540763786
TARA_A100001011	16364.9727913528
TARA_A100001015	18184.7050853824
TARA_A100001035	12543.9828896782
TARA_A100001037	12349.3868390589
TARA_A100001234	9707.12937993054
TARA_A100001388	13181.1954593794
TARA_A200000113	9277.37099309714
TARA_A200000159	5716.83655435015
TARA_B000000437	10770.508323128
TARA_B000000441	14832.8394167559
TARA_B000000460	11657.1791769325
TARA_B000000475	12482.9859010452
TARA_B000000477	6019.66969200513
TARA_B000000532	11321.2017447539
TARA_B000000557	12127.6583465193
TARA_B000000565	11370.6145897227
TARA_B000000609	12075.4138232177
TARA_B100000003	8843.65650368339
TARA_B100000029	11819.3884788866
TARA_B100000035	13447.5909761191
TARA_B100000073	12426.347754717
TARA_B100000085	8677.46196782693
TARA_B100000123	14634.0022676013
TARA_B100000131	11936.152282025
TARA_B100000161	16678.6588344974
TARA_B100000212	15998.9779191931
TARA_B100000214	14035.9698873159
TARA_B100000242	20811.5626190326
TARA_B100000282	15840.6243612987
TARA_B100000287	12421.5417303016
TARA_B100000315	10794.051124521
TARA_B100000378	11375.2999509824
TARA_B100000401	26488.4202862726
TARA_B100000405	11093.8374105582
TARA_B100000408	6705.44579726361
TARA_B100000424	8953.38121435987
TARA_B100000427	10323.8124922491
TARA_B100000446	8841.68224035857
TARA_B100000459	4146.49554556957
TARA_B100000470	11137.0636412872
TARA_B100000475	8162.53366895534
TARA_B100000482	7377.01189793675
TARA_B100000497	4103.85542596984
TARA_B100000508	7012.86856698331
TARA_B100000513	7822.43310147906
TARA_B100000519	5744.49628564857
TARA_B100000524	13141.7890051863
TARA_B100000530	12940.1004986384
TARA_B100000575	13769.730850863
TARA_B100000579	14017.9359827882
TARA_B100000586	11656.9758799702
TARA_B100000609	10981.1019395869
TARA_B100000614	10367.6131186783
TARA_B100000674	23020.6898037759
TARA_B100000676	15217.3723757849
TARA_B100000678	12167.6216866969
TARA_B100000683	8770.35432363147
TARA_B100000686	13004.8463138499
TARA_B100000700	10287.7075156692
TARA_B100000745	12507.0227646432
TARA_B100000749	11000.4513837351
TARA_B100000767	13403.9181658276
TARA_B100000768	6938.10333867712
TARA_B100000780	10192.8593269981
TARA_B100000787	13529.3295974009
TARA_B100000795	12014.1607348003
TARA_B100000809	8486.84953341583
TARA_B100000886	12809.2455309435
TARA_B100000900	12398.287923588
TARA_B100000902	14313.3670037142
TARA_B100000925	13957.6854878153
TARA_B100000927	11504.5295912163
TARA_B100000929	10620.3754878288
TARA_B100000941	13333.3641124614
TARA_B100000945	10994.7647867579
TARA_B100000949	8513.96195129704
TARA_B100000953	14232.2121512427
TARA_B100000959	12498.7450519549
TARA_B100000963	15787.8326506614
TARA_B100000965	12521.4122968842
TARA_B100000989	15603.3162671764
TARA_B100001013	11366.0512283934
TARA_B100001027	9440.18039777304
TARA_B100001029	8330.74409380634
TARA_B100001057	21162.8101360369
TARA_B100001059	11438.9403110004
TARA_B100001063	11349.0076855085
TARA_B100001079	12179.312426729
TARA_B100001093	19073.609485636
TARA_B100001094	9630.74119665628
TARA_B100001105	13224.9925272241
TARA_B100001109	12679.5337512664
TARA_B100001113	13590.0662214277
TARA_B100001115	11433.3177554972
TARA_B100001121	14739.1785792625
TARA_B100001123	11607.397374965
TARA_B100001142	11404.610842623
TARA_B100001146	10182.2906638484
TARA_B100001167	7757.3751980583
TARA_B100001173	12095.6406058008
TARA_B100001175	13173.8316261998
TARA_B100001179	9695.89590590589
TARA_B100001245	9899.01524124674
TARA_B100001248	12434.340038426
TARA_B100001250	11695.4141630663
TARA_B100001287	14829.2703908594
TARA_B100001540	13783.0076873408
TARA_B100001559	12373.1691835125
TARA_B100001564	14786.7770524312
TARA_B100001741	12801.6872421283
TARA_B100001750	8902.77350815425
TARA_B100001758	12385.4419718258
TARA_B100001765	9777.21406856175
TARA_B100001769	14198.9461945226
TARA_B100001778	12416.2214544947
TARA_B100001939	12390.1117486561
TARA_B100001964	12115.173704552
TARA_B100001971	11373.9686266092
TARA_B100001989	12135.567953844
TARA_B100001996	10504.1197616602
TARA_B100002003	9081.68642072234
TARA_B100002019	13494.3373532012
TARA_B100002049	9213.2123593109
TARA_B100002051	12639.6928325964
TARA_B100002052	12361.1725645863
TARA_B110000003	14372.253969228
TARA_B110000008	13460.2222153418
TARA_B110000014	11884.2883628931
TARA_B110000027	9755.17298339641
TARA_B110000037	10810.4737320615
TARA_B110000046	7428.62076715721
TARA_B110000090	10640.6528647042
TARA_B110000091	10068.4196541688
TARA_B110000093	8672.98501569121
TARA_B110000114	12247.7780305875
TARA_B110000116	10187.4850711965
TARA_B110000196	11604.5342031581
TARA_B110000208	8319.4736214581
TARA_B110000211	9339.76844397628
TARA_B110000238	12096.6727270972
TARA_B110000240	9797.5097981805
TARA_B110000259	11227.0198707924
TARA_B110000261	8439.21557542051
TARA_B110000263	9801.09042144748
TARA_B110000285	5811.6350239812
TARA_B110000305	11371.0017596916
TARA_B110000438	11033.6881579627
TARA_B110000444	11413.2077946671
TARA_B110000459	10483.1316368773
TARA_B110000467	11428.929415769
TARA_B110000483	12071.1204734797
TARA_B110000495	12262.0496681017
TARA_B110000503	9213.89685687093
TARA_B110000858	10200.6756572931
TARA_B110000879	12376.0361404986
TARA_B110000881	10254.9929182328
TARA_B110000902	10865.0790368832
TARA_B110000908	9368.38154376728
TARA_B110000914	8871.77894103296
TARA_B110000967	12282.564643929
TARA_B110000971	12207.4968860515
TARA_B110000977	7652.98989120307
TARA_B110001450	11679.4166522001
TARA_B110001452	7399.47751498745
TARA_B110001454	8282.57480388002
TARA_B110001469	8766.42018016872
TARA_E500000075	6841.71774719749
TARA_E500000081	6727.92375740181
TARA_E500000178	17655.4457470944
TARA_E500000331	12714.6434343396
TARA_S200000501	16994.7162563254
TARA_X000000368	17778.9321467483
TARA_X000000950	18283.01614351
TARA_X000001036	16768.9975376775
TARA_Y100000022	8261.18719429388
TARA_Y100000031	8096.20129184055
TARA_Y100000287	8603.31113424785
TARA_Y100000294	8166.51835443151
TARA_Y200000002	16754.1419299595
